fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -3,draw,-3,12.00,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Canadá +3,away,+3,1.04,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Suiza -2,home,-2,13.00,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -2,draw,-2,6.90,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Canadá +2,away,+2,1.16,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Suiza -1,home,-1,5.40,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -1,draw,-1,3.95,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Canadá +1,away,+1,1.57,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Suiza +1,home,+1,1.36,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +1,draw,+1,4.65,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Canadá -1,away,-1,7.80,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Suiza +2,home,+2,1.10,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +2,draw,+2,8.75,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Canadá -2,away,-2,19.00,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Resultado del partido,match_result,1,home,,7.60,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Resultado del partido,match_result,X,draw,,4.70,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Resultado del partido,match_result,2,away,,1.42,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Escocia o Empate,home_draw,,2.95,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Escocia o Brasil,home_away,,1.18,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Doble oportunidad,double_chance,Brasil o Empate,draw_away,,1.11,false,IMG_7562.PNG,2026-06-21 22:23 -05:00,
2026-06-24-sco-bra,Escocia vs Brasil,2026-06-24 17:00,Betano,Goles totales Más/Menos,total_goals,Más de 2.5,over,2.5,1.83,false,IMG_7563.PNG,2026-06-21 22:23 -05:00,
