date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2026-06-15,WC_2026_GROUP,1.0,ESP,CPV,2129.0,1578.0,D,0,0,,,
2026-06-15,WC_2026_GROUP,1.0,BEL,EGY,1894.0,1696.0,D,1,1,,,
2026-06-15,WC_2026_GROUP,1.0,KSA,URU,1576.0,1892.0,D,1,1,,,
2026-06-15,WC_2026_GROUP,1.0,IRN,NZL,1720.0,1560.0,D,2,2,,,
2026-06-16,WC_2026_GROUP,1.0,FRA,SEN,2063.0,1860.0,A,3,1,,,
2026-06-16,WC_2026_GROUP,1.0,NOR,IRQ,1914.0,1607.0,A,4,1,,,
2026-06-16,WC_2026_GROUP,1.0,ARG,ALG,2115.0,1772.0,A,3,0,,,
2026-06-17,WC_2026_GROUP,1.0,AUT,JOR,1830.0,1680.0,A,3,1,,,
2026-06-17,WC_2026_GROUP,1.0,POR,COD,1989.0,1635.0,D,1,1,,,
2026-06-17,WC_2026_GROUP,1.0,ENG,CRO,2024.0,1825.0,A,4,2,,,
2026-06-17,WC_2026_GROUP,1.0,GHA,PAN,1710.0,1640.0,A,1,0,,,
2026-06-17,WC_2026_GROUP,1.0,COL,UZB,1855.0,1670.0,A,3,1,,,
2026-06-18,WC_2026_GROUP,1.0,CZE,RSA,1759.0361921974445,1644.3737194730272,D,1,1,,,
2026-06-18,WC_2026_GROUP,1.0,SUI,BIH,1810.9752699480016,1731.4741691448858,A,4,1,,,
2026-06-18,WC_2026_GROUP,1.0,CAN,QAT,1848.5258308551142,1589.0247300519984,A,6,0,,,
2026-06-18,WC_2026_GROUP,1.0,MEX,KOR,1820.6262805269728,1760.9638078025555,A,1,0,,,
2026-06-19,WC_2026_GROUP,1.0,USA,AUS,1822.0633363455281,1703.4781324692644,A,2,0,,,
2026-06-19,WC_2026_GROUP,1.0,MAR,SCO,1842.0586439166066,1775.7195116957794,A,1,0,,,
2026-06-19,WC_2026_GROUP,1.0,BRA,HAI,1965.9413560833934,1489.2804883042206,A,3,0,,,
