source_image,source_sha256,fixture_id,app,transcribed_selection_rows,inventory_status
IMG_7610.PNG,f642094c38b425299db43b1f2b92a3cf43f864856e59f7e1d996c3010a1170ae,2026-06-26-egy-irn,Betsson,0,reviewed_no_supported_row
IMG_7611.PNG,b5be6ba05e46bd44237f76029c06935e7ab6c0eb84656c8330d3e0e89ce940a7,2026-06-26-nzl-bel,Betsson,3,odds_transcribed
IMG_7612.PNG,c1b18d9152f921bdec12b0d8d596f9916a1eeb33445101ac5d5bd8362a729944,2026-06-26-nzl-bel,Betsson,0,reviewed_no_supported_row
IMG_7613.PNG,bef9f1d9f963f38076d7ea3e73563701579996c91a8f1c545deb6cbe32af5d56,2026-06-26-nzl-bel,Betsson,0,reviewed_no_supported_row
IMG_7614.PNG,f9546401c11ce3b0e5eb3388c641deeb35d3a2e2ff5a71894fc8356f771d0389,2026-06-26-nzl-bel,Betsson,0,reviewed_no_supported_row
IMG_7615.PNG,aef977d88f6825a9008f6ebe047e869a24ebde08cfdc41cb51361f0e4f1d02a1,2026-06-22-arg-aut,Betano,0,reviewed_no_supported_row
IMG_7616.PNG,e637dc6de4df417818d50fa2787b4f28e21b8a714f9759a8b41e3319fb18cfb2,2026-06-22-arg-aut,Betano,0,reviewed_no_supported_row
IMG_7617.PNG,901dc73b4b542432764f275351509a15679981470c4aa29e46521748950696fc,2026-06-22-arg-aut,Betano,0,reviewed_no_supported_row
IMG_7618.PNG,129bc17effe8ab9ce38a531651f36e82bf2eb956285d681df4deb1b944cd2d8f,2026-06-22-arg-aut,Betano,0,reviewed_no_supported_row
IMG_7619.PNG,b7717804d4f56c4e0476255de9f78c4f888bace15430df28836890df63f5abbb,2026-06-22-fra-irq,Betano,0,reviewed_no_supported_row
IMG_7620.PNG,a9d6e8fe2b14c2898ce64f7362d795e1d4644b3b3db3a9fab7da4b64512fa850,2026-06-22-fra-irq,Betano,0,reviewed_no_supported_row
IMG_7621.PNG,3708c76abb47be30c998d2e7a2ac9d097c59d9d1aa6410a2df2746598bed89cc,2026-06-22-fra-irq,Betano,0,reviewed_no_supported_row
IMG_7622.PNG,9b2f5ed6750c3b1c9b52f051f7db3bb6606b1a9c6163dfa85e34e2f9d5aac281,2026-06-22-fra-irq,Betano,0,reviewed_no_supported_row
IMG_7623.PNG,a0bcd9a10b38857cb6db5460d6867eddbaf87813d3691519e88a5b29ea33d4ed,2026-06-22-fra-irq,Betano,0,reviewed_no_supported_row
IMG_7624.PNG,111bb4c7dedeb55a7943da6a7c8f1432f0607137f2897a18dc73ea62ecf1b00e,2026-06-22-nor-sen,Betano,0,reviewed_no_supported_row
IMG_7625.PNG,992e89142ab9f5180f6b080e4a818c9d6c2417c08c786d365836a76909b7140e,2026-06-22-nor-sen,Betano,0,reviewed_no_supported_row
IMG_7626.PNG,94a4086382ee553af397f293a0b25100020cf7eb311ef2bf3f79d941f3c8a5d3,2026-06-22-nor-sen,Betano,0,reviewed_no_supported_row
IMG_7627.PNG,48b3c038a3088c1c2930eb50b6c6ae111cd0f11bc1ebc070e505a25b558db2fe,2026-06-22-nor-sen,Betano,0,reviewed_no_supported_row
IMG_7628.PNG,23d38ed1953414e69879f026c374b3cdffbbcc67793ac80aebb6273c2aa6ca7f,2026-06-22-nor-sen,Betano,0,reviewed_no_supported_row
IMG_7629.PNG,daf199b364cab37cc0c80d5e647edc5b7de166f31eaa12b6ad79fa8d5554c498,2026-06-22-jor-alg,Betano,0,reviewed_no_supported_row
