date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2025-10-11,WC_QUALIFIER,0.85,POR,IRL,1510.0,1500.0,A,1,0,1.13,8.12,20.71
2025-10-12,WC_QUALIFIER,0.85,DEN,GRE,1510.0,1480.3,A,3,1,1.68,3.61,5.31
2025-10-12,WC_QUALIFIER,0.85,NED,FIN,1509.4,1490.0,A,4,0,1.11,9.28,20.88
2025-10-13,WC_QUALIFIER,0.85,ISL,FRA,1480.3,1519.7,D,2,2,9.87,5.49,1.29
2025-10-13,WC_QUALIFIER,0.85,WAL,BEL,1490.0,1510.0,B,2,4,4.89,3.77,1.69
2025-10-14,WC_QUALIFIER,0.85,KSA,IRQ,1480.9,1491.4,D,0,0,1.54,3.67,6.26
2025-10-14,WC_QUALIFIER,0.85,POR,HUN,1519.7,1490.0,D,2,2,1.21,6.53,12.15
2025-11-13,WC_QUALIFIER,0.85,ENG,SRB,1510.0,1490.0,A,2,0,1.28,5.49,10.77
2025-11-13,WC_QUALIFIER,0.85,FRA,UKR,1518.6,1500.0,A,4,0,1.14,7.55,16.97
2025-11-13,WC_QUALIFIER,0.85,IRL,POR,1490.3,1518.9,A,2,0,8.5,4.49,1.38
2025-11-14,WC_QUALIFIER,0.85,POL,NED,1500.6,1518.9,D,1,1,4.52,3.57,1.77
2025-11-15,WC_QUALIFIER,0.85,GRE,SCO,1471.1,1509.7,A,3,2,2.2,3.18,3.35
2025-11-15,WC_QUALIFIER,0.85,SUI,SWE,1510.0,1490.0,A,4,1,1.51,4.05,6.31
2025-11-16,WC_QUALIFIER,0.85,HUN,IRL,1490.9,1501.1,B,2,3,2.02,3.21,3.84
2025-11-16,WC_QUALIFIER,0.85,ITA,NOR,1490.0,1510.0,B,1,4,2.14,3.53,3.19
2025-11-16,WC_QUALIFIER,0.85,UKR,ISL,1490.5,1481.4,A,2,0,1.95,3.5,3.7
2025-11-18,WC_QUALIFIER,0.85,AUT,BIH,1510.0,1490.0,D,1,1,1.32,5.32,8.42
2025-11-18,WC_QUALIFIER,0.85,ESP,TUR,1510.0,1490.0,D,2,2,1.18,7.23,13.69
2025-11-18,WC_QUALIFIER,0.85,SCO,DEN,1498.6,1519.1,A,4,2,3.51,3.35,2.07
2026-03-26,FRIENDLY,0.6,CZE,IRL,1490.6,1510.8,D,2,2,1.96,3.35,3.92
2026-03-26,FRIENDLY,0.6,UKR,SWE,1500.3,1480.6,B,1,3,3.27,3.24,2.23
2026-03-26,FRIENDLY,0.6,WAL,BIH,1480.6,1490.6,D,1,1,1.66,3.76,5.23
2026-03-31,FRIENDLY,0.6,BIH,ITA,1490.3,1480.6,D,1,1,6.86,4.19,1.47
2026-03-31,FRIENDLY,0.6,CZE,DEN,1491.2,1508.6,D,1,1,3.69,3.34,2.03
2026-03-31,FRIENDLY,0.6,SWE,POL,1491.1,1501.1,A,3,2,2.08,3.33,3.51
